"fare_id","route_id","origin_id","destination_id","contains_id"
"1_1091_1_210_20250315","1_1091_1_20250315","100001_2","100889_1",
"1_1111_1_210_20250315","1_1111_1_20250315","100001_2","100889_1",
"1_2011_1_210_20250315","1_2011_1_20250315","100001_2","100889_1",
"1_2111_1_210_20250315","1_2111_1_20250315","100001_2","100889_1",
"1_2211_1_210_20250315","1_2211_1_20250315","100001_2","100889_1",
"1_2161_1_420_20250315","1_2161_1_20250315","100001_2","100889_1",
"1_1071_1_210_20250315","1_1071_1_20250315","100001_2","100890_1",
"1_1081_1_210_20250315","1_1081_1_20250315","100001_2","100890_1",
"1_1091_1_210_20250315","1_1091_1_20250315","100001_2","100890_1",
"1_1111_1_210_20250315","1_1111_1_20250315","100001_2","100890_1",
"1_2011_1_210_20250315","1_2011_1_20250315","100001_2","100890_1",
"1_2111_1_210_20250315","1_2111_1_20250315","100001_2","100890_1",
"1_2211_1_210_20250315","1_2211_1_20250315","100001_2","100890_1",
"1_2161_1_420_20250315","1_2161_1_20250315","100001_2","100890_1",
"1_1091_1_390_20250315","1_1091_1_20250315","100001_2","100891_1",
"1_1111_1_390_20250315","1_1111_1_20250315","100001_2","100891_1",
"1_2011_1_390_20250315","1_2011_1_20250315","100001_2","100891_1",
"1_2111_1_390_20250315","1_2111_1_20250315","100001_2","100891_1",
"1_2211_1_390_20250315","1_2211_1_20250315","100001_2","100891_1",
"1_2161_1_780_20250315","1_2161_1_20250315","100001_2","100891_1",
"1_1071_1_390_20250315","1_1071_1_20250315","100001_2","100892_1",
"1_1081_1_390_20250315","1_1081_1_20250315","100001_2","100892_1",
"1_1091_1_390_20250315","1_1091_1_20250315","100001_2","100892_1",
"1_1111_1_390_20250315","1_1111_1_20250315","100001_2","100892_1",
"1_2011_1_390_20250315","1_2011_1_20250315","100001_2","100892_1",
"1_2111_1_390_20250315","1_2111_1_20250315","100001_2","100892_1",
"1_2211_1_390_20250315","1_2211_1_20250315","100001_2","100892_1",
"1_2161_1_780_20250315","1_2161_1_20250315","100001_2","100892_1",
"1_1071_1_410_20250315","1_1071_1_20250315","100001_2","100893_1",
"1_1081_1_410_20250315","1_1081_1_20250315","100001_2","100893_1",
"1_1091_1_410_20250315","1_1091_1_20250315","100001_2","100893_1",
"1_1111_1_410_20250315","1_1111_1_20250315","100001_2","100893_1",
"1_2011_1_410_20250315","1_2011_1_20250315","100001_2","100893_1",
"1_2111_1_410_20250315","1_2111_1_20250315","100001_2","100893_1",
"1_2211_1_410_20250315","1_2211_1_20250315","100001_2","100893_1",
"1_2161_1_820_20250315","1_2161_1_20250315","100001_2","100893_1",
"1_1071_1_410_20250315","1_1071_1_20250315","100001_2","100894_1",
"1_1081_1_410_20250315","1_1081_1_20250315","100001_2","100894_1",
"1_1091_1_410_20250315","1_1091_1_20250315","100001_2","100894_1",
"1_1111_1_410_20250315","1_1111_1_20250315","100001_2","100894_1",
"1_2011_1_410_20250315","1_2011_1_20250315","100001_2","100894_1",
"1_2111_1_410_20250315","1_2111_1_20250315","100001_2","100894_1",
