"route_id","route_update_date","origin_stop","via_stop","destination_stop"
"1_1112_2_20240624","20240624","菊池プラザ",,"熊本駅前"
"10_2901_1_20240624","20240624","桜町バスターミナル",,"高平南公園"
"10020_2591_1_20240624","20240624","桜町バスターミナル",,"光の森駅"
"1_2212_2_20240619","20240619","辻久保",,"桜町バスターミナル"
"10_2902_2_20240624","20240624","高平南公園",,"桜町バスターミナル"
"10021_2511_1_20240619","20240619","桜町バスターミナル",,"武蔵ヶ丘車庫前"
"10020_3812_2_20240624","20240624","楠団地（麻生田小経由）",,"桜町バスターミナル"
"10020_1361_1_20240619","20240619","蓮台寺入口",,"杉並台団地"
"70_161_1_20240619","20240619","菊陽町役場（菊陽）",,"向陽台（菊陽）"
"10020_3532_2_20240619","20240619","下群",,"桜町バスターミナル"
"10020_5321_1_20240624","20240624","県会議事堂前",,"杉並台団地"
"10021_3512_2_20240624","20240624","下群",,"桜町バスターミナル"
"10021_3412_2_20240619","20240619","下群",,"熊本駅前"
"60_9521_1_20240619","20240619","御代志",,"アンビー熊本"
"10021_5411_1_20240619","20240619","県会議事堂前",,"下群"
"1_2152_2_20240619","20240619","菊池プラザ",,"桜町バスターミナル"
"8_2752_2_20240619","20240619","南原（熊本市北区）",,"桜町バスターミナル"
"23_9221_1_20240619","20240619","原水駅北口",,"原水駅（終点）"
"8_2732_2_20240624","20240624","立石（熊本）",,"桜町バスターミナル"
"23_9141_1_20240624","20240624","原水駅北口",,"原水駅（終点）"
"10023_3092_2_20240619","20240619","光の森駅",,"熊本駅前"
"10020_2331_1_20240619","20240619","桜町バスターミナル",,"杉並台団地"
"10020_3422_2_20240624","20240624","下群",,"熊本駅前"
"1_1111_1_20240619","20240619","熊本駅前",,"菊池プラザ"
"70_151_1_20240624","20240624","向陽台（菊陽）",,"菊陽町役場（菊陽）"
"10020_3442_2_20240619","20240619","下群",,"熊本駅前"
"8_2731_1_20240624","20240624","桜町バスターミナル",,"立石（熊本）"
"10020_2532_2_20240624","20240624","武蔵ヶ丘車庫前",,"桜町バスターミナル"
"14_3801_1_20240624","20240624","桜町バスターミナル",,"下群"
"10020_2342_2_20240624","20240624","杉並台団地",,"桜町バスターミナル"
"10021_3611_1_20240624","20240624","桜町バスターミナル",,"下群"
"60_9532_2_20240624","20240624","光の森駅",,"辻久保"
"60_9541_1_20240619","20240619","辻久保",,"アンビー熊本"
"10021_1352_2_20240624","20240624","杉並台団地",,"蓮台寺入口"
"1_1071_1_20240619","20240619","熊本駅前",,"菊池プラザ"
"1_1081_1_20240624","20240624","蓮台寺入口",,"菊池温泉・市民広場前"
"10021_1351_1_20240619","20240619","蓮台寺入口",,"杉並台団地"
"10021_2311_1_20240624","20240624","桜町バスターミナル",,"杉並台団地"
"1_1092_2_20240624","20240624","菊池温泉・市民広場前",,"蓮台寺入口"
"10020_1362_2_20240624","20240624","杉並台団地",,"蓮台寺入口"
"60_9532_2_20240619","20240619","光の森駅",,"辻久保"
"60_9541_1_20240624","20240624","辻久保",,"アンビー熊本"
"10021_1352_2_20240619","20240619","杉並台団地",,"蓮台寺入口"
"1_1071_1_20240624","20240624","熊本駅前",,"菊池プラザ"
"1_1081_1_20240619","20240619","蓮台寺入口",,"菊池温泉・市民広場前"
"10021_1351_1_20240624","20240624","蓮台寺入口",,"杉並台団地"
"10021_2311_1_20240619","20240619","桜町バスターミナル",,"杉並台団地"
"1_1092_2_20240619","20240619","菊池温泉・市民広場前",,"蓮台寺入口"
"10020_1362_2_20240619","20240619","杉並台団地",,"蓮台寺入口"
"10020_3442_2_20240624","20240624","下群",,"熊本駅前"
"8_2731_1_20240619","20240619","桜町バスターミナル",,"立石（熊本）"
"10020_2532_2_20240619","20240619","武蔵ヶ丘車庫前",,"桜町バスターミナル"
"14_3801_1_20240619","20240619","桜町バスターミナル",,"下群"
"10020_2342_2_20240619","20240619","杉並台団地",,"桜町バスターミナル"
"10021_3611_1_20240619","20240619","桜町バスターミナル",,"下群"
"8_2732_2_20240619","20240619","立石（熊本）",,"桜町バスターミナル"
"23_9141_1_20240619","20240619","原水駅北口",,"原水駅（終点）"
"10023_3092_2_20240624","20240624","光の森駅",,"熊本駅前"
"10020_2331_1_20240624","20240624","桜町バスターミナル",,"杉並台団地"
"10020_3422_2_20240619","20240619","下群",,"熊本駅前"
"1_1111_1_20240624","20240624","熊本駅前",,"菊池プラザ"
"70_151_1_20240619","20240619","向陽台（菊陽）",,"菊陽町役場（菊陽）"
"70_161_1_20240624","20240624","菊陽町役場（菊陽）",,"向陽台（菊陽）"
"10020_3532_2_20240624","20240624","下群",,"桜町バスターミナル"
"10020_5321_1_20240619","20240619","県会議事堂前",,"杉並台団地"
"10021_3512_2_20240619","20240619","下群",,"桜町バスターミナル"
"10021_3412_2_20240624","20240624","下群",,"熊本駅前"
"60_9521_1_20240624","20240624","御代志",,"アンビー熊本"
"10021_5411_1_20240624","20240624","県会議事堂前",,"下群"
"1_2152_2_20240624","20240624","菊池プラザ",,"桜町バスターミナル"
"8_2752_2_20240624","20240624","南原（熊本市北区）",,"桜町バスターミナル"
"23_9221_1_20240624","20240624","原水駅北口",,"原水駅（終点）"
"10020_1541_1_20240619","20240619","熊本駅前",,"武蔵ヶ丘車庫前"
"1_2231_1_20240619","20240619","桜町バスターミナル",,"辻久保"
"60_9552_2_20240624","20240624","アンビー熊本",,"辻久保"
"1_4032_2_20240619","20240619","菊池プラザ",,"辻久保"
"10023_3091_1_20240624","20240624","熊本駅前",,"光の森駅"
"7_2582_2_20240624","20240624","武蔵ヶ丘車庫前",,"桜町バスターミナル"
"1_2111_1_20240619","20240619","桜町バスターミナル",,"菊池プラザ"
"10020_1522_2_20240624","20240624","武蔵ヶ丘車庫前",,"熊本駅前"
"10018_8022_2_20240624","20240624","菊池プラザ",,"辻久保"
"10020_3421_1_20240619","20240619","熊本駅前",,"下群"
